사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
Jan-19,중앙선,1216,오빈,1 ,0 ,211 ,11 ,509 ,181 ,801 ,160 ,950 ,420 ,1014 ,321 ,938 ,368 ,663 ,359 ,706 ,422 ,573 ,445 ,489 ,398 ,523 ,836 ,452 ,567 ,590 ,929 ,421 ,991 ,191 ,751 ,123 ,547 ,55 ,468 ,35 ,516 ,15 ,266 ,23 ,125 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,중앙선,1217,양평,19 ,1 ,1521 ,80 ,2350 ,1200 ,9690 ,2984 ,6446 ,6138 ,5898 ,5115 ,7106 ,5608 ,6273 ,6921 ,7504 ,6615 ,7218 ,5286 ,6981 ,7293 ,7910 ,7057 ,6889 ,5847 ,6965 ,7843 ,6781 ,7455 ,3322 ,7066 ,2693 ,5774 ,2353 ,3563 ,1962 ,3586 ,1052 ,4753 ,195 ,1624 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,중앙선,1218,원덕,30 ,0 ,233 ,7 ,466 ,60 ,860 ,185 ,1154 ,446 ,1355 ,336 ,1133 ,363 ,841 ,557 ,884 ,569 ,722 ,447 ,701 ,771 ,662 ,784 ,637 ,861 ,454 ,1159 ,447 ,961 ,260 ,701 ,101 ,664 ,76 ,762 ,40 ,508 ,48 ,340 ,2 ,248 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,중앙선,1219,용문,301 ,0 ,886 ,16 ,2425 ,357 ,3631 ,1184 ,5083 ,2749 ,4406 ,2225 ,5127 ,3352 ,3855 ,6968 ,5503 ,8596 ,6612 ,4631 ,7862 ,6296 ,8103 ,5784 ,6081 ,4140 ,3924 ,5001 ,2981 ,4819 ,1590 ,3298 ,1059 ,4083 ,773 ,1879 ,458 ,2194 ,171 ,1970 ,0 ,1030 ,0 ,1 ,0 ,0 ,0 ,0 
Jan-19,중앙선,1220,지평,0 ,0 ,0 ,0 ,0 ,0 ,187 ,138 ,142 ,53 ,2 ,0 ,372 ,231 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,308 ,397 ,2 ,0 ,33 ,63 ,60 ,162 ,8 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,장항선,1401,봉명,15 ,0 ,862 ,292 ,1641 ,833 ,2195 ,2765 ,2571 ,3541 ,3212 ,4239 ,2648 ,1788 ,3058 ,3073 ,3121 ,1809 ,2507 ,2871 ,2566 ,1981 ,2547 ,2438 ,2499 ,1928 ,3251 ,1406 ,2141 ,3025 ,1363 ,1761 ,1164 ,1190 ,757 ,1159 ,524 ,1034 ,323 ,566 ,67 ,386 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,장항선,1402,쌍용(나사렛대),3 ,0 ,1359 ,204 ,3713 ,618 ,7123 ,1644 ,6286 ,3157 ,5275 ,3007 ,3529 ,1967 ,3554 ,3463 ,3561 ,2162 ,4058 ,4010 ,2953 ,2140 ,3574 ,4059 ,3080 ,3675 ,4097 ,4358 ,3120 ,6359 ,2073 ,5248 ,2219 ,3726 ,1613 ,2703 ,1230 ,2551 ,637 ,2385 ,215 ,1144 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,장항선,1403,아산,0 ,0 ,545 ,602 ,1745 ,2571 ,5753 ,4035 ,3994 ,5148 ,4010 ,4461 ,3285 ,4341 ,3806 ,4869 ,4042 ,3671 ,4179 ,6078 ,4522 ,3064 ,6430 ,5763 ,5556 ,2760 ,6652 ,6446 ,8357 ,5497 ,5646 ,5142 ,4386 ,3816 ,4839 ,2396 ,3335 ,1975 ,2145 ,1623 ,612 ,770 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,장항선,1405,배방,3 ,0 ,716 ,84 ,1433 ,671 ,2837 ,1019 ,2598 ,1659 ,2703 ,1139 ,1766 ,1125 ,1723 ,1814 ,1828 ,1228 ,1955 ,2147 ,1573 ,1134 ,1796 ,2404 ,1307 ,1521 ,2348 ,2901 ,2296 ,2340 ,1111 ,1922 ,1116 ,2137 ,878 ,1381 ,535 ,1052 ,420 ,1445 ,144 ,543 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,장항선,1407,온양온천,3 ,0 ,1671 ,739 ,4245 ,2780 ,7925 ,4754 ,9325 ,8511 ,10667 ,8249 ,7821 ,12957 ,10285 ,17536 ,13532 ,15182 ,13084 ,10819 ,18430 ,11770 ,13897 ,9412 ,12629 ,9314 ,9991 ,7711 ,9462 ,12022 ,4969 ,6743 ,3594 ,7124 ,2864 ,4860 ,1856 ,3387 ,1378 ,3901 ,358 ,1545 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,장항선,1408,신창(순천향대),10 ,1 ,614 ,66 ,904 ,292 ,1972 ,1654 ,1890 ,3316 ,2382 ,1431 ,1856 ,1828 ,1938 ,1716 ,2607 ,2084 ,1615 ,1470 ,3231 ,2436 ,1974 ,1502 ,3882 ,2530 ,2942 ,1662 ,3292 ,2535 ,1207 ,1801 ,983 ,1947 ,716 ,1692 ,405 ,1643 ,247 ,1541 ,40 ,696 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1251,서울역,0 ,0 ,594 ,7 ,866 ,5852 ,1687 ,14401 ,3035 ,47283 ,1599 ,11490 ,1652 ,7256 ,1906 ,6008 ,2870 ,7063 ,3587 ,4478 ,4226 ,3406 ,5197 ,3381 ,8210 ,3303 ,12801 ,6641 ,30223 ,5750 ,9681 ,4373 ,10951 ,1960 ,4356 ,1124 ,1335 ,187 ,2529 ,1292 ,1 ,114 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1252,신촌,0 ,0 ,123 ,27 ,308 ,807 ,278 ,2006 ,495 ,8083 ,458 ,2771 ,464 ,1978 ,662 ,1742 ,971 ,2331 ,1173 ,1452 ,1153 ,1303 ,1492 ,1152 ,2297 ,969 ,3863 ,1971 ,3742 ,2271 ,1681 ,1482 ,1418 ,574 ,1667 ,421 ,1535 ,185 ,656 ,419 ,1 ,62 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1261,효창공원앞,1 ,0 ,622 ,200 ,1517 ,2447 ,4437 ,3894 ,5773 ,15411 ,3989 ,8152 ,2900 ,3864 ,2949 ,2998 ,3235 ,3168 ,3564 ,3016 ,3485 ,3402 ,3819 ,3465 ,4689 ,3717 ,6578 ,4172 ,12689 ,6673 ,6844 ,5349 ,3593 ,3705 ,3113 ,3407 ,2185 ,3778 ,1011 ,2424 ,98 ,511 ,0 ,1 ,0 ,0 ,0 ,0 
Jan-19,경의선,1262,공덕,16 ,1 ,606 ,129 ,1708 ,1352 ,4816 ,6213 ,5536 ,19664 ,4392 ,8051 ,4214 ,3297 ,4619 ,3490 ,5069 ,3719 ,5136 ,3413 ,5250 ,3871 ,5491 ,3733 ,5910 ,4010 ,8553 ,5024 ,18775 ,7474 ,8166 ,5400 ,6323 ,3630 ,6388 ,3327 ,5576 ,3115 ,2997 ,1847 ,311 ,556 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1263,서강대,1 ,0 ,380 ,162 ,1377 ,1259 ,2251 ,3360 ,3342 ,7914 ,2532 ,6153 ,2470 ,3658 ,2584 ,3105 ,2878 ,4048 ,3309 ,3698 ,3316 ,3598 ,5102 ,3342 ,4453 ,3056 ,5838 ,3781 ,6343 ,4306 ,3816 ,3475 ,3580 ,2116 ,4279 ,2039 ,4081 ,1774 ,1690 ,1142 ,123 ,251 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1264,홍대입구,8 ,0 ,417 ,79 ,975 ,468 ,1408 ,1947 ,1920 ,6015 ,1333 ,4761 ,1253 ,3185 ,1316 ,3570 ,1602 ,5160 ,1933 ,4993 ,2294 ,5016 ,2737 ,4900 ,3389 ,4772 ,4746 ,5338 ,6457 ,6772 ,5058 ,5169 ,4542 ,2829 ,5411 ,2469 ,7490 ,1854 ,3144 ,1604 ,244 ,324 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1265,가좌,3 ,2 ,2373 ,256 ,6259 ,3365 ,18493 ,3182 ,23943 ,7681 ,11384 ,6935 ,8679 ,5625 ,8333 ,5397 ,8714 ,7077 ,8324 ,7952 ,7522 ,8278 ,7952 ,8933 ,9245 ,10385 ,9931 ,11295 ,9445 ,15391 ,5549 ,14938 ,3868 ,8779 ,3095 ,7306 ,2334 ,5634 ,961 ,5461 ,49 ,912 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1266,디지털미디어시티,0 ,0 ,799 ,170 ,1846 ,996 ,5675 ,1986 ,6444 ,4163 ,3785 ,3103 ,2879 ,2168 ,2991 ,2103 ,2980 ,2301 ,3123 ,2523 ,3090 ,2457 ,3183 ,2647 ,3535 ,3217 ,4378 ,4167 ,5309 ,6952 ,3039 ,5799 ,2166 ,3181 ,2077 ,3117 ,1537 ,2852 ,928 ,2189 ,100 ,581 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1267,수색,2 ,1 ,865 ,230 ,1680 ,4037 ,2661 ,4508 ,3209 ,17543 ,2506 ,8419 ,2183 ,3761 ,2109 ,2248 ,2585 ,2623 ,2545 ,3178 ,2842 ,2830 ,2968 ,2760 ,4802 ,3360 ,7209 ,3278 ,15231 ,2951 ,6078 ,2300 ,3293 ,1749 ,2636 ,1471 ,1986 ,1091 ,869 ,888 ,41 ,236 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1268,화전,0 ,0 ,391 ,267 ,1135 ,875 ,3726 ,1660 ,5332 ,4580 ,2941 ,4051 ,2310 ,2539 ,2489 ,2286 ,3184 ,2195 ,2802 ,3035 ,2796 ,2313 ,3030 ,2369 ,3675 ,2973 ,5047 ,2833 ,4893 ,3938 ,2543 ,3276 ,1728 ,1898 ,1356 ,2141 ,974 ,1973 ,586 ,1585 ,50 ,672 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1269,강매,0 ,0 ,1582 ,166 ,4997 ,817 ,18196 ,927 ,16063 ,3515 ,6929 ,1389 ,5097 ,1214 ,4447 ,1542 ,3941 ,1712 ,3677 ,2344 ,3126 ,2632 ,2937 ,3508 ,2603 ,4337 ,2921 ,5749 ,4088 ,8266 ,1640 ,11237 ,979 ,6127 ,954 ,5432 ,585 ,5133 ,258 ,3681 ,16 ,1470 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1270,행신,1 ,5 ,2967 ,1171 ,12281 ,4960 ,43358 ,4812 ,34356 ,10608 ,15567 ,6995 ,11489 ,4614 ,12585 ,6165 ,11993 ,7510 ,10456 ,8666 ,8762 ,8521 ,8561 ,9775 ,10480 ,12608 ,12916 ,17091 ,12142 ,33295 ,6788 ,33680 ,6302 ,15967 ,5533 ,15100 ,5600 ,13670 ,2464 ,9162 ,405 ,3356 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1271,능곡,0 ,0 ,2298 ,261 ,6566 ,1997 ,16154 ,2613 ,16108 ,5442 ,9446 ,3653 ,6657 ,3361 ,6308 ,3259 ,5793 ,3545 ,6004 ,4049 ,4645 ,4671 ,4675 ,5429 ,4826 ,6192 ,5711 ,8429 ,5920 ,10644 ,3484 ,11288 ,2297 ,6920 ,2108 ,6531 ,1326 ,6048 ,604 ,4259 ,56 ,2346 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1272,곡산,0 ,0 ,189 ,175 ,744 ,492 ,1378 ,1147 ,1443 ,2695 ,1170 ,677 ,761 ,572 ,637 ,646 ,744 ,672 ,766 ,677 ,868 ,707 ,1024 ,684 ,1004 ,684 ,1441 ,820 ,1891 ,1503 ,657 ,1131 ,529 ,707 ,360 ,716 ,244 ,631 ,106 ,340 ,11 ,116 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1273,백마,0 ,0 ,3347 ,1122 ,13955 ,2544 ,35684 ,6214 ,26695 ,11313 ,13980 ,6604 ,10716 ,5040 ,9991 ,4747 ,10631 ,5891 ,9448 ,6844 ,8496 ,7450 ,8837 ,7925 ,9290 ,10408 ,11145 ,10888 ,13112 ,23971 ,5591 ,25545 ,3922 ,14776 ,3845 ,13288 ,3237 ,13220 ,1112 ,8711 ,147 ,2299 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1274,풍산,1 ,0 ,3173 ,313 ,9456 ,2139 ,24249 ,3955 ,18922 ,6967 ,12782 ,5545 ,8837 ,4554 ,8434 ,5416 ,8335 ,6122 ,8393 ,6130 ,7571 ,6082 ,8134 ,7430 ,8096 ,8396 ,9226 ,10530 ,8821 ,18324 ,4741 ,17243 ,3854 ,12407 ,4529 ,10308 ,3290 ,9133 ,1083 ,7299 ,138 ,1690 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1275,일산,9 ,3 ,5802 ,1018 ,19852 ,2976 ,52718 ,6023 ,34311 ,12483 ,18806 ,8378 ,13939 ,7471 ,14296 ,8049 ,14804 ,9450 ,13638 ,11560 ,12217 ,12286 ,13152 ,12927 ,13287 ,15286 ,11940 ,18439 ,12853 ,32458 ,7159 ,36090 ,5426 ,22570 ,4576 ,19035 ,4382 ,17961 ,1556 ,11225 ,280 ,3819 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1276,탄현,8 ,0 ,4903 ,647 ,15452 ,2942 ,42395 ,6026 ,25642 ,9496 ,15189 ,7329 ,12692 ,5256 ,12319 ,5845 ,11360 ,7096 ,10777 ,7688 ,10019 ,8707 ,10916 ,9964 ,11304 ,11984 ,10780 ,16520 ,12583 ,26519 ,6764 ,34016 ,5644 ,18967 ,5487 ,16345 ,4719 ,14453 ,1882 ,7857 ,258 ,5635 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1277,야당,15 ,0 ,3340 ,218 ,11085 ,3074 ,21572 ,3867 ,17305 ,6147 ,10086 ,5100 ,9192 ,3315 ,7950 ,4126 ,7990 ,4501 ,6946 ,5069 ,6612 ,5710 ,6792 ,7043 ,8178 ,7637 ,7954 ,12217 ,8068 ,16393 ,4880 ,18029 ,3674 ,9855 ,3644 ,10827 ,3017 ,9570 ,1264 ,5160 ,258 ,3414 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1278,운정,25 ,0 ,2703 ,282 ,14290 ,2640 ,27350 ,5368 ,23263 ,8654 ,12547 ,4446 ,11148 ,3729 ,9280 ,4593 ,9426 ,5501 ,8425 ,5541 ,7175 ,6473 ,7287 ,7920 ,8030 ,9946 ,9279 ,12756 ,9659 ,19281 ,4667 ,20743 ,3621 ,11421 ,2912 ,11930 ,2204 ,10866 ,765 ,6333 ,99 ,3127 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1279,금릉,28 ,0 ,3007 ,274 ,7422 ,1971 ,16902 ,4424 ,11743 ,9432 ,9502 ,5060 ,7966 ,4489 ,7908 ,4058 ,8458 ,4109 ,7853 ,5732 ,6758 ,6075 ,6517 ,7553 ,7036 ,8782 ,8286 ,10704 ,9683 ,14414 ,5238 ,16225 ,4499 ,7615 ,3871 ,8299 ,4110 ,7734 ,1185 ,5760 ,162 ,2985 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1280,금촌,21 ,5 ,3644 ,274 ,10116 ,3958 ,20344 ,9828 ,20193 ,16866 ,13869 ,9977 ,12700 ,8302 ,12154 ,7836 ,12723 ,9591 ,12872 ,10180 ,11451 ,11048 ,11731 ,12176 ,12598 ,14609 ,13929 ,16071 ,18416 ,19881 ,8924 ,20094 ,6984 ,10780 ,5639 ,11198 ,4418 ,8987 ,1192 ,6993 ,220 ,3254 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1282,월롱,12 ,3 ,406 ,17 ,919 ,5705 ,2227 ,9995 ,2559 ,9512 ,2231 ,2825 ,2117 ,2043 ,2264 ,1425 ,2457 ,2823 ,3127 ,1852 ,2068 ,1708 ,3393 ,1929 ,4646 ,2422 ,9555 ,2633 ,16729 ,3312 ,5925 ,3092 ,4394 ,2792 ,2426 ,3319 ,1213 ,2682 ,261 ,2698 ,11 ,1045 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1283,파주,48 ,1 ,857 ,11 ,1267 ,456 ,2872 ,1950 ,3538 ,4054 ,2416 ,1202 ,2433 ,1133 ,2204 ,853 ,2047 ,1124 ,2059 ,963 ,1657 ,1049 ,1929 ,1304 ,2486 ,1521 ,3049 ,1679 ,4660 ,1898 ,1258 ,1805 ,756 ,1295 ,902 ,1111 ,347 ,1269 ,73 ,1029 ,10 ,429 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1284,문산,1142 ,1 ,3001 ,18 ,8214 ,2790 ,18826 ,6878 ,19626 ,13838 ,13265 ,6345 ,10724 ,6994 ,10158 ,7303 ,10739 ,7976 ,10920 ,8622 ,10275 ,8434 ,10315 ,11628 ,10265 ,12221 ,12656 ,13262 ,13298 ,17655 ,6503 ,15141 ,4526 ,11148 ,3961 ,9703 ,2402 ,7687 ,509 ,6743 ,0 ,3772 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1291,서울역,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1293,홍대입구,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1295,김포공항,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1296,계양,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경의선,1297,검암,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1311,신내,7 ,0 ,325 ,175 ,928 ,493 ,2051 ,1404 ,2200 ,3052 ,1346 ,1050 ,1180 ,1089 ,982 ,908 ,1280 ,913 ,960 ,963 ,1074 ,1113 ,1022 ,1116 ,1193 ,1194 ,1528 ,1739 ,1587 ,2134 ,994 ,1510 ,660 ,921 ,692 ,828 ,594 ,642 ,292 ,300 ,3 ,87 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1312,갈매,4 ,0 ,1516 ,306 ,3498 ,1308 ,16695 ,2104 ,11065 ,3692 ,6457 ,2508 ,4079 ,2540 ,3128 ,1856 ,3628 ,2094 ,3111 ,2452 ,3186 ,2647 ,2636 ,3765 ,3427 ,3376 ,3546 ,5101 ,4905 ,6905 ,2513 ,11782 ,1722 ,5817 ,2413 ,3346 ,1368 ,4443 ,724 ,2650 ,20 ,878 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1313,별내,24 ,0 ,717 ,578 ,1920 ,2137 ,7884 ,4041 ,7797 ,5960 ,4408 ,3849 ,3968 ,2814 ,3541 ,3070 ,4001 ,3202 ,3835 ,2786 ,3761 ,3813 ,4080 ,4169 ,5250 ,4361 ,5657 ,5465 ,5708 ,6304 ,2972 ,7675 ,2495 ,4166 ,2506 ,2507 ,2341 ,2635 ,1264 ,1842 ,39 ,329 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1314,퇴계원,1 ,0 ,2217 ,421 ,4616 ,1505 ,19369 ,3555 ,14276 ,4747 ,9465 ,2324 ,7167 ,2640 ,5531 ,2716 ,5836 ,3331 ,5524 ,3523 ,4097 ,4340 ,4466 ,4953 ,4316 ,6098 ,4908 ,7504 ,6112 ,14083 ,3154 ,11286 ,2078 ,7944 ,1858 ,5973 ,1308 ,5932 ,618 ,3806 ,63 ,1032 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1315,사릉,30 ,0 ,1764 ,700 ,5618 ,1752 ,17273 ,4664 ,15041 ,6497 ,8129 ,2623 ,6490 ,2781 ,5042 ,2576 ,4975 ,2716 ,4962 ,3061 ,3660 ,3379 ,3991 ,3659 ,3647 ,6102 ,5274 ,5753 ,7351 ,10827 ,2820 ,14748 ,1799 ,6501 ,1614 ,6555 ,1037 ,6727 ,428 ,3856 ,27 ,979 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1316,금곡,18 ,0 ,1144 ,245 ,2325 ,930 ,5176 ,1796 ,5217 ,3908 ,2966 ,2174 ,3025 ,1976 ,2730 ,1586 ,2537 ,1928 ,2791 ,1831 ,2175 ,2271 ,2669 ,2146 ,2269 ,3347 ,2950 ,2976 ,3484 ,4031 ,1320 ,4274 ,733 ,1806 ,701 ,2215 ,652 ,1761 ,245 ,1283 ,13 ,346 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1317,평내호평,485 ,2 ,4834 ,1006 ,8234 ,2526 ,26488 ,3946 ,19128 ,8666 ,11042 ,6745 ,10161 ,5784 ,8815 ,5387 ,9890 ,6928 ,8457 ,6888 ,7833 ,9147 ,8654 ,8344 ,8460 ,9061 ,9656 ,14668 ,9917 ,17130 ,5639 ,21940 ,4696 ,11628 ,4404 ,10163 ,4354 ,8166 ,1936 ,7343 ,44 ,2404 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1318,천마산,17 ,8 ,948 ,266 ,2717 ,556 ,7130 ,1348 ,5364 ,1184 ,4526 ,1461 ,3880 ,1154 ,3049 ,1267 ,2936 ,1788 ,2440 ,1814 ,2386 ,2268 ,1890 ,2871 ,1747 ,2714 ,1828 ,3764 ,2096 ,4209 ,906 ,4662 ,644 ,3420 ,568 ,2863 ,321 ,1830 ,165 ,1385 ,9 ,449 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1319,마석,22 ,0 ,1145 ,507 ,5347 ,2390 ,14939 ,5269 ,9706 ,7964 ,8600 ,4806 ,7540 ,4243 ,6285 ,4020 ,6881 ,4406 ,5738 ,5545 ,6032 ,5428 ,5776 ,6780 ,6567 ,5120 ,6027 ,8112 ,7785 ,8830 ,3494 ,13114 ,2554 ,7082 ,2350 ,5544 ,1487 ,5295 ,746 ,2634 ,39 ,1206 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1320,대성리,1 ,0 ,280 ,47 ,857 ,223 ,955 ,552 ,1070 ,874 ,1125 ,606 ,1641 ,806 ,2578 ,589 ,1697 ,911 ,989 ,1725 ,1006 ,2196 ,939 ,1429 ,1155 ,1530 ,1221 ,1285 ,1046 ,1068 ,474 ,908 ,333 ,803 ,255 ,519 ,139 ,514 ,87 ,295 ,2 ,5 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1321,청평,1 ,0 ,819 ,86 ,1700 ,402 ,3424 ,1759 ,4962 ,3595 ,4093 ,3673 ,4585 ,2939 ,6557 ,2662 ,4104 ,3570 ,3678 ,3483 ,3641 ,4452 ,3581 ,3783 ,3744 ,5053 ,4308 ,4465 ,4431 ,4056 ,2595 ,4199 ,1949 ,2010 ,1005 ,2297 ,915 ,1811 ,302 ,1406 ,10 ,344 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1322,상천,0 ,0 ,106 ,14 ,359 ,90 ,532 ,205 ,824 ,524 ,677 ,538 ,491 ,673 ,693 ,667 ,594 ,506 ,707 ,430 ,795 ,560 ,838 ,549 ,955 ,598 ,679 ,573 ,365 ,567 ,186 ,519 ,85 ,350 ,75 ,332 ,36 ,199 ,19 ,190 ,1 ,78 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1323,가평,0 ,0 ,537 ,125 ,1242 ,648 ,1996 ,1997 ,3824 ,4362 ,3176 ,3283 ,3596 ,3797 ,5626 ,4715 ,3602 ,6373 ,3153 ,4176 ,3652 ,4497 ,3935 ,4189 ,5188 ,2951 ,5907 ,3373 ,5057 ,3654 ,1677 ,3073 ,1434 ,1911 ,1070 ,1724 ,639 ,1366 ,244 ,1103 ,14 ,396 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1324,굴봉산,0 ,0 ,61 ,1 ,73 ,9 ,184 ,43 ,261 ,269 ,343 ,445 ,348 ,607 ,873 ,353 ,385 ,279 ,331 ,325 ,311 ,306 ,391 ,338 ,304 ,275 ,319 ,325 ,154 ,315 ,112 ,190 ,70 ,201 ,45 ,150 ,33 ,122 ,25 ,40 ,1 ,12 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1325,백양리,1 ,0 ,181 ,17 ,94 ,49 ,73 ,608 ,121 ,1124 ,172 ,527 ,274 ,832 ,955 ,833 ,780 ,695 ,558 ,570 ,459 ,601 ,787 ,617 ,896 ,389 ,1388 ,474 ,795 ,405 ,330 ,259 ,449 ,225 ,343 ,321 ,378 ,229 ,255 ,211 ,45 ,39 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1326,강촌,1 ,0 ,136 ,21 ,173 ,52 ,349 ,219 ,451 ,833 ,588 ,1055 ,675 ,1562 ,1203 ,1485 ,1294 ,933 ,959 ,817 ,1177 ,791 ,1491 ,877 ,1542 ,816 ,1370 ,652 ,927 ,673 ,383 ,450 ,276 ,358 ,239 ,337 ,124 ,286 ,45 ,244 ,20 ,27 ,0 ,0 ,0 ,0 ,0 ,0 
Jan-19,경춘선,1327,김유정,1 ,0 ,110 ,9 ,164 ,56 ,431 ,285 ,385 ,447 ,396 ,926 ,459 ,1509 ,554 ,1611 ,783 ,1130 ,1117 ,958 ,1214 ,808 ,1368 ,747 ,1209 ,572 ,1290 ,414 ,520 ,425 ,180 ,323 ,148 ,241 ,111 ,187 ,37 ,150 ,17 ,101 ,6 ,42 ,0 ,0 ,0 ,0 ,0 ,0 
